dollarrate_rate,dollarrate_date
605,03/06/2022 21:09
600,03/06/2022 21:09
605,11/06/2022 21:09
615,06/07/2022 21:09
620,20/07/2022 21:09
643,20/07/2022 21:09
645,22/07/2022 21:09
650,22/07/2022 21:09
670,22/07/2022 21:09
670,22/07/2022 21:09
700,22/07/2022 21:09
700,22/07/2022 21:09
625,22/07/2022 21:09
655,09/08/2022 21:09
685,09/08/2022 21:09
700,15/08/2022 21:09
700,15/08/2022 21:09
700,15/08/2022 21:09
700,06/09/2022 21:09
700,09/09/2022 21:09
715,20/09/2022 21:09
725,06/10/2022 21:09
